,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
40,2017-02-01,951789.9369057253,914970.6902083742,978324.775272869,951789.9369057253,951789.9369057253,-5527.806096947118,-5527.806096947118,-5527.806096947118,-5527.806096947118,-5527.806096947118,-5527.806096947118,0.0,0.0,0.0,946262.1308087781
41,2017-03-01,961405.6908857749,927130.522415563,990093.6829789917,961405.690885775,961405.690885775,-1212.6554256958552,-1212.6554256958552,-1212.6554256958552,-1212.6554256958552,-1212.6554256958552,-1212.6554256958552,0.0,0.0,0.0,960193.0354600791
42,2017-04-01,972051.7042208302,942413.0692877055,1003317.8421986183,972051.7042208302,972051.7042208302,553.8489364238562,553.8489364238562,553.8489364238562,553.8489364238562,553.8489364238562,553.8489364238562,0.0,0.0,0.0,972605.5531572541
43,2017-05-01,982354.2977708835,952202.4149118382,1011513.1761419062,982354.2977708835,982354.2977708835,-1478.443625643855,-1478.443625643855,-1478.443625643855,-1478.443625643855,-1478.443625643855,-1478.443625643855,0.0,0.0,0.0,980875.8541452397
44,2017-06-01,993008.4152253118,968367.3819775521,1029711.8784572125,993008.4152253119,993008.4152253119,6349.545951922789,6349.545951922789,6349.545951922789,6349.545951922789,6349.545951922789,6349.545951922789,0.0,0.0,0.0,999357.9611772345
45,2017-07-01,1003318.8514715325,974525.8252156394,1035515.1567966486,1003318.8514715325,1003318.8514715325,-685.748416112422,-685.748416112422,-685.748416112422,-685.748416112422,-685.748416112422,-685.748416112422,0.0,0.0,0.0,1002633.1030554201
46,2017-08-01,1013972.9689259605,976494.9912191806,1036537.8890329072,1013972.9689259605,1013972.9689259605,-8625.717585496166,-8625.717585496166,-8625.717585496166,-8625.717585496166,-8625.717585496166,-8625.717585496166,0.0,0.0,0.0,1005347.2513404643
47,2017-09-01,1024627.0864064218,1020135.264471031,1080989.4183878414,1024627.0864064218,1024627.0864064218,26415.25842961226,26415.25842961226,26415.25842961226,26415.25842961226,26415.25842961226,26415.25842961226,0.0,0.0,0.0,1051042.344836034
48,2017-10-01,1034937.5226778357,1014709.2074712967,1075432.0004445752,1034937.5226778357,1034937.5226778357,9111.714164997267,9111.714164997267,9111.714164997267,9111.714164997267,9111.714164997267,9111.714164997267,0.0,0.0,0.0,1044049.2368428329
49,2017-11-01,1045591.6401648127,1007413.8179468613,1069803.7082331346,1045591.6401648127,1045591.6401648127,-7189.226183090775,-7189.226183090775,-7189.226183090775,-7189.226183090775,-7189.226183090775,-7189.226183090775,0.0,0.0,0.0,1038402.4139817219
50,2017-12-01,1055902.0764425325,1017698.2319257129,1077640.4552219461,1055902.0764425325,1055902.0764425325,-8058.497484801111,-8058.497484801111,-8058.497484801111,-8058.497484801111,-8058.497484801111,-8058.497484801111,0.0,0.0,0.0,1047843.5789577314
51,2018-01-01,1066556.1939295095,1032248.0824758348,1094787.8919247037,1066556.1939295095,1066556.1939295095,-2145.5547343870594,-2145.5547343870594,-2145.5547343870594,-2145.5547343870594,-2145.5547343870594,-2145.5547343870594,0.0,0.0,0.0,1064410.6391951225
52,2018-02-01,1077210.311410636,1041258.4247715388,1101417.2632627261,1077210.311410636,1077210.311410636,-5104.611258201791,-5104.611258201791,-5104.611258201791,-5104.611258201791,-5104.611258201791,-5104.611258201791,0.0,0.0,0.0,1072105.7001524342
53,2018-03-01,1086833.3852645569,1052028.2603677704,1110842.099592538,1086833.3852645569,1086833.3852645569,-5121.0061537162455,-5121.0061537162455,-5121.0061537162455,-5121.0061537162455,-5121.0061537162455,-5121.0061537162455,0.0,0.0,0.0,1081712.3791108406
54,2018-04-01,1097487.5027456833,1062807.1396719832,1125265.4628532573,1097487.5027456833,1097487.5027456833,-1705.0893968111918,-1705.0893968111918,-1705.0893968111918,-1705.0893968111918,-1705.0893968111918,-1705.0893968111918,0.0,0.0,0.0,1095782.4133488722
55,2018-05-01,1107797.9390278745,1074398.7152257161,1137958.151427508,1107797.9390278745,1107797.9390278745,-1447.301944765058,-1447.301944765058,-1447.301944765058,-1447.301944765058,-1447.301944765058,-1447.301944765058,0.0,0.0,0.0,1106350.6370831095
56,2018-06-01,1118452.0565194718,1098074.3506542137,1156925.4779440155,1118452.0565194718,1118452.0565194718,7406.600060727677,7406.600060727677,7406.600060727677,7406.600060727677,7406.600060727677,7406.600060727677,0.0,0.0,0.0,1125858.6565801995
57,2018-07-01,1128762.4928155453,1101298.9652963993,1164638.0380205691,1128762.4928155453,1128762.4928155453,3796.5402624523135,3796.5402624523135,3796.5402624523135,3796.5402624523135,3796.5402624523135,3796.5402624523135,0.0,0.0,0.0,1132559.0330779976
58,2018-08-01,1139416.6103214878,1108864.7877796877,1171490.032379798,1139416.6103214878,1139416.6103214878,1519.8118106861743,1519.8118106861743,1519.8118106861743,1519.8118106861743,1519.8118106861743,1519.8118106861743,0.0,0.0,0.0,1140936.422132174
59,2018-09-01,1150070.7278274302,1130296.0613664347,1192260.8210656631,1150070.7278274302,1150070.7278274302,11066.448132375719,11066.448132375719,11066.448132375719,11066.448132375719,11066.448132375719,11066.448132375719,0.0,0.0,0.0,1161137.175959806
60,2018-10-01,1160381.1641286043,1136008.323615267,1195054.3940236785,1160381.1641286043,1160381.1641286043,4005.552184681234,4005.552184681234,4005.552184681234,4005.552184681234,4005.552184681234,4005.552184681234,0.0,0.0,0.0,1164386.7163132855
61,2018-11-01,1171035.2816398174,1139380.9096779923,1200244.2539754794,1171035.2816398174,1171035.2816398174,-1364.1032469376337,-1364.1032469376337,-1364.1032469376337,-1364.1032469376337,-1364.1032469376337,-1364.1032469376337,0.0,0.0,0.0,1169671.1783928797
