,Date,Sold_Units,Retail_Sales (in USD)
344,2020-09-08,11957.0,1793550.0
345,2020-09-09,9216.0,1382400.0
346,2020-09-10,9219.0,1382850.0
347,2020-09-11,9265.0,1389750.0
348,2020-09-12,4304.0,645600.0
349,2020-09-13,2530.0,379500.0
350,2020-09-14,11293.0,1693950.0
351,2020-09-15,11195.0,1679250.0
352,2020-09-16,9195.0,1379250.0
353,2020-09-17,9162.0,1374300.0
354,2020-09-18,9113.0,1366950.0
355,2020-09-19,4113.0,616950.0
356,2020-09-20,2289.0,343350.0
357,2020-09-21,11326.0,1698900.0
358,2020-09-22,11238.0,1685700.0
359,2020-09-23,9055.0,1358250.0
360,2020-09-24,9001.0,1350150.0
361,2020-09-25,9053.0,1357950.0
362,2020-09-26,4273.0,640950.0
363,2020-09-27,2747.0,412050.0
364,2020-09-28,11415.0,1712250.0
365,2020-09-29,11270.0,1690500.0
366,2020-09-30,9777.0,1466550.0
367,2020-10-01,9388.0,1408200.0
368,2020-10-02,9560.0,1434000.0
369,2020-10-03,4462.0,669300.0
370,2020-10-04,2407.0,361050.0
371,2020-10-05,12084.0,1812600.0
372,2020-10-06,12004.0,1800600.0
373,2020-10-07,9388.0,1408200.0
374,2020-10-08,9278.0,1391700.0
375,2020-10-09,9242.0,1386300.0
376,2020-10-10,4203.0,630450.0
377,2020-10-11,2398.0,359700.0
378,2020-10-12,11602.0,1740300.0
379,2020-10-13,11254.0,1688100.0
380,2020-10-14,9209.0,1381350.0
381,2020-10-15,9192.0,1378800.0
382,2020-10-16,9160.0,1374000.0
383,2020-10-17,4168.0,625200.0
384,2020-10-18,2182.0,327300.0
385,2020-10-19,11310.0,1696500.0
386,2020-10-20,11113.0,1666950.0
387,2020-10-21,9120.0,1368000.0
388,2020-10-22,9036.0,1355400.0
389,2020-10-23,9027.0,1354050.0
390,2020-10-24,4131.0,619650.0
391,2020-10-25,2762.0,414300.0
392,2020-10-26,11466.0,1719900.0
393,2020-10-27,11302.0,1695300.0
394,2020-10-28,9838.0,1475700.0
395,2020-10-29,9812.0,1471800.0
396,2020-10-30,9640.0,1446000.0
397,2020-10-31,5362.0,804300.0
398,2020-11-01,3527.0,529050.0
399,2020-11-02,12021.0,1803150.0
400,2020-11-03,11990.0,1798500.0
401,2020-11-04,9316.0,1397400.0
402,2020-11-05,9447.0,1417050.0
403,2020-11-06,9460.0,1419000.0
404,2020-11-07,4108.0,616200.0
405,2020-11-08,2137.0,320550.0
406,2020-11-09,11851.0,1777650.0
407,2020-11-10,11710.0,1756500.0
408,2020-11-11,9260.0,1389000.0
409,2020-11-12,9284.0,1392600.0
410,2020-11-13,9212.0,1381800.0
411,2020-11-14,4187.0,628050.0
412,2020-11-15,2224.0,333600.0
413,2020-11-16,11308.0,1696200.0
414,2020-11-17,11072.0,1660800.0
415,2020-11-18,9113.0,1366950.0
416,2020-11-19,9012.0,1351800.0
417,2020-11-20,9091.0,1363650.0
418,2020-11-21,4114.0,617100.0
419,2020-11-22,2849.0,427350.0
420,2020-11-23,11456.0,1718400.0
421,2020-11-24,11276.0,1691400.0
422,2020-11-25,9062.0,1359300.0
423,2020-11-26,9215.0,1382250.0
424,2020-11-27,9714.0,1457100.0
425,2020-11-28,4381.0,657150.0
426,2020-11-29,3018.0,452700.0
427,2020-11-30,11424.0,1713600.0
428,2020-12-01,10810.0,1621500.0
429,2020-12-02,9349.0,1402350.0
430,2020-12-03,9468.0,1420200.0
431,2020-12-04,9448.0,1417200.0
432,2020-12-05,4122.0,618300.0
433,2020-12-06,2223.0,333450.0
434,2020-12-07,11953.0,1792950.0
435,2020-12-08,11957.0,1793550.0
436,2020-12-09,8929.0,1339350.0
437,2020-12-10,8932.0,1339800.0
438,2020-12-11,8956.0,1343400.0
439,2020-12-12,4154.0,623100.0
440,2020-12-13,2302.0,345300.0
441,2020-12-14,10917.0,1637550.0
442,2020-12-15,10827.0,1624050.0
443,2020-12-16,7531.0,1129650.0
444,2020-12-17,7556.0,1133400.0
445,2020-12-18,7526.0,1128900.0
446,2020-12-19,4034.0,605100.0
447,2020-12-20,2452.0,367800.0
448,2020-12-21,10852.0,1627800.0
449,2020-12-22,10803.0,1620450.0
450,2020-12-23,6919.0,1037850.0
451,2020-12-24,6960.0,1044000.0
452,2020-12-25,6977.0,1046550.0
453,2020-12-26,4236.0,635400.0
